Year,Degrees
1974.9526056627, 5098.955209747175
1976.020024620435, 5671.380322590834
1977.0446040213378, 6388.055932577903
1977.9411571604433, 6961.11233862568
1979.0078375051294, 8398.093494523535
1980.0309396799344, 10843.88119061898
1980.9245383668444, 14875.161768883561
1981.9451784981536, 20202.802941826325
1982.9240869922037, 24377.860547331213
1983.985473943373, 32010.82667845081
1984.9621665982766, 38779.552413118276
1985.9847763643825, 41801.710804583185
1986.9263848994667, 39636.848584324995
1987.998604842019, 34589.65941731637
1989.02749281904, 30263.091442820623
1989.9271235125154, 27233.831002809253
1990.9115716044316, 24924.71828540766
1991.9797291752154, 24632.587355197124
1992.9199835863767, 24052.74454720495
1994.0304883052934, 24192.733815220483
1995.0556832170703, 24188.946055995715
1995.9953221173575, 24329.566617215372
1996.977677472302, 24470.029355133993
1998.0437423061142, 26627.473880243684
1998.937587197374, 30370.569110823526
1999.9565038982355, 37715.50771755942
2000.976159212146, 44195.890281241125
2001.953344275749, 50388.24532053912
2002.8869511694706, 57589.40690003472
2003.9104226508002, 59602.91657460308
2004.983011899877, 54123.449386067354
2005.92843660238, 47491.71427669581
2007.000902749282, 42156.33976200246
2007.9865818629462, 38406.3003061772
2008.9268362741075, 37826.45749818503
2010.0358637669267, 39695.558852308954
2011.0155108740255, 43006.06041475963
2011.908863356586, 47325.526340708944
2012.927656955273, 54814.55762128721
2013.9484201887567, 59998.106120387616